DATE_ID,DATE_ACTUAL,YEAR,MONTH,DAY,DAY_NAME,MONTH_NAME,WEEK_OF_YEAR
20180310,2018-03-10,2018,3,10,Sat,Mar,10
20170807,2017-08-07,2017,8,7,Mon,Aug,32
20180608,2018-06-08,2018,6,8,Fri,Jun,23
20180605,2018-06-05,2018,6,5,Tue,Jun,23
20160805,2016-08-05,2016,8,5,Fri,Aug,31
20150602,2015-06-02,2015,6,2,Tue,Jun,23
20180308,2018-03-08,2018,3,8,Thu,Mar,10
20170705,2017-07-05,2017,7,5,Wed,Jul,27
20160609,2016-06-09,2016,6,9,Thu,Jun,23
20180801,2018-08-01,2018,8,1,Wed,Aug,31
20180710,2018-07-10,2018,7,10,Tue,Jul,28
20160706,2016-07-06,2016,7,6,Wed,Jul,27
20170511,2017-05-11,2017,5,11,Thu,May,19
20180312,2018-03-12,2018,3,12,Mon,Mar,11
20180205,2018-02-05,2018,2,5,Mon,Feb,6
20180111,2018-01-11,2018,1,11,Thu,Jan,2
20150909,2015-09-09,2015,9,9,Wed,Sep,37
20180412,2018-04-12,2018,4,12,Thu,Apr,15
20150412,2015-04-12,2015,4,12,Sun,Apr,15
20150612,2015-06-12,2015,6,12,Fri,Jun,24
20150808,2015-08-08,2015,8,8,Sat,Aug,32
20171112,2017-11-12,2017,11,12,Sun,Nov,45
20181012,2018-10-12,2018,10,12,Fri,Oct,41
20150404,2015-04-04,2015,4,4,Sat,Apr,14
20150312,2015-03-12,2015,3,12,Thu,Mar,11
20180711,2018-07-11,2018,7,11,Wed,Jul,28
20160604,2016-06-04,2016,6,4,Sat,Jun,22
20150709,2015-07-09,2015,7,9,Thu,Jul,28
20150207,2015-02-07,2015,2,7,Sat,Feb,6
20180708,2018-07-08,2018,7,8,Sun,Jul,27
20150501,2015-05-01,2015,5,1,Fri,May,18
20180211,2018-02-11,2018,2,11,Sun,Feb,6
20150209,2015-02-09,2015,2,9,Mon,Feb,7
20160705,2016-07-05,2016,7,5,Tue,Jul,27
20181006,2018-10-06,2018,10,6,Sat,Oct,40
20170608,2017-06-08,2017,6,8,Thu,Jun,23
20181004,2018-10-04,2018,10,4,Thu,Oct,40
20170307,2017-03-07,2017,3,7,Tue,Mar,10
20180305,2018-03-05,2018,3,5,Mon,Mar,10
20160301,2016-03-01,2016,3,1,Tue,Mar,9
20151010,2015-10-10,2015,10,10,Sat,Oct,41
20171006,2017-10-06,2017,10,6,Fri,Oct,40
20160208,2016-02-08,2016,2,8,Mon,Feb,6
20150703,2015-07-03,2015,7,3,Fri,Jul,27
20160809,2016-08-09,2016,8,9,Tue,Aug,32
20170304,2017-03-04,2017,3,4,Sat,Mar,9
20180408,2018-04-08,2018,4,8,Sun,Apr,14
20170810,2017-08-10,2017,8,10,Thu,Aug,32
20150510,2015-05-10,2015,5,10,Sun,May,19
20170910,2017-09-10,2017,9,10,Sun,Sep,36
20150705,2015-07-05,2015,7,5,Sun,Jul,27
20170708,2017-07-08,2017,7,8,Sat,Jul,27
20170905,2017-09-05,2017,9,5,Tue,Sep,36
20180202,2018-02-02,2018,2,2,Fri,Feb,5
20170109,2017-01-09,2017,1,9,Mon,Jan,2
20180812,2018-08-12,2018,8,12,Sun,Aug,32
20150610,2015-06-10,2015,6,10,Wed,Jun,24
20170312,2017-03-12,2017,3,12,Sun,Mar,10
20160912,2016-09-12,2016,9,12,Mon,Sep,37
20161003,2016-10-03,2016,10,3,Mon,Oct,40
20170909,2017-09-09,2017,9,9,Sat,Sep,36
20180108,2018-01-08,2018,1,8,Mon,Jan,2
20160404,2016-04-04,2016,4,4,Mon,Apr,14
20180406,2018-04-06,2018,4,6,Fri,Apr,14
20150405,2015-04-05,2015,4,5,Sun,Apr,14
20170205,2017-02-05,2017,2,5,Sun,Feb,5
20180302,2018-03-02,2018,3,2,Fri,Mar,9
20150605,2015-06-05,2015,6,5,Fri,Jun,23
20180405,2018-04-05,2018,4,5,Thu,Apr,14
20170505,2017-05-05,2017,5,5,Fri,May,18
20150104,2015-01-04,2015,1,4,Sun,Jan,1
